Dấu thời gian,"Mỗi tuần, bạn thường dành ra bao nhiêu giờ để học? - Chỉ ghi số",Hiện tại bạn đang học bao nhiêu môn? - Chỉ ghi số,"Mỗi ngày, bạn thường ngủ bao nhiêu giờ?","Mỗi ngày, bạn thường sử dụng mạng xã hội bao lâu?",Bạn có đang làm thêm không?,Bạn có đang tham gia bất kỳ CLB nào không?,Phần trăm tham gia các buổi học trên trường của bạn khoảng bao nhiêu?,Bạn hay thường học theo cách nào?,GPA hiện tại của bạn là bao nhiêu? (Theo thang 4.0)
5/9/2026 22:26:39,6,7,> 8 giờ,> 3 giờ,Không,Có,75%,Tự học,3.4
5/9/2026 22:28:06,24,3,6-7 giờ,2-3 giờ,Không,Không,75%,Cả hai,3.5
5/9/2026 22:31:45,20,6,> 8 giờ,> 3 giờ,Có,Có,75%,Tự học,3
5/9/2026 22:46:30,2,7,7-8 giờ,1-2 giờ,Có,Có,100%,Học nhóm,3
5/9/2026 22:46:52,1,5,> 8 giờ,2-3 giờ,Có,Không,75%,Cả hai,3.3
5/9/2026 22:47:15,6,4,7-8 giờ,1-2 giờ,Không,Không,100%,Học nhóm,2.3
5/9/2026 22:47:40,53,9,7-8 giờ,2-3 giờ,Không,Không,100%,Cả hai,3.9
5/9/2026 22:48:18,90,10,6-7 giờ,1-2 giờ,Có,Không,≤ 25%,Cả hai,2.8
5/9/2026 22:56:12,60,6,< 6 giờ,1-2 giờ,Không,Không,100%,Cả hai,3.8
5/9/2026 22:56:59,57,8,6-7 giờ,2-3 giờ,Không,Có,75%,Tự học,3.5
5/9/2026 22:57:36,40,5,7-8 giờ,2-3 giờ,Có,Không,100%,Cả hai,3.2
5/9/2026 22:58:18,50,7,7-8 giờ,2-3 giờ,Không,Có,100%,Cả hai,3.45
5/9/2026 22:59:17,55,6,7-8 giờ,1-2 giờ,Không,Có,100%,Cả hai,3.8
5/9/2026 23:00:21,32,6,7-8 giờ,< 1 giờ,Có,Có,75%,Học nhóm,2.9
5/9/2026 23:01:40,30,4,> 8 giờ,> 3 giờ,Có,Không,75%,Tự học,3.4
5/9/2026 23:01:51,70,5,> 8 giờ,1-2 giờ,Có,Có,50%,Học nhóm,2.8
5/9/2026 23:02:10,87,5,> 8 giờ,> 3 giờ,Có,Có,100%,Học nhóm,2.7
5/9/2026 23:02:32,69,4,> 8 giờ,> 3 giờ,Có,Có,100%,Cả hai,3.8
5/9/2026 23:02:34,45,5,7-8 giờ,> 3 giờ,Không,Không,100%,Tự học,4.0
5/9/2026 23:03:34,60,8,< 6 giờ,< 1 giờ,Không,Có,100%,Tự học,3.6
5/9/2026 23:03:49,50,2,> 8 giờ,1-2 giờ,Có,Có,100%,Tự học,2.0
5/9/2026 23:04:11,87,9,7-8 giờ,2-3 giờ,Có,Không,100%,Cả hai,3.8
5/9/2026 23:04:34,128,4,> 8 giờ,2-3 giờ,Không,Không,100%,Cả hai,2.9
5/9/2026 23:04:55,40,4,> 8 giờ,> 3 giờ,Không,Không,100%,Tự học,3.8
5/9/2026 23:06:06,30,4,> 8 giờ,> 3 giờ,Có,Không,75%,Tự học,3.2
5/9/2026 23:07:00,48,8,6-7 giờ,2-3 giờ,Có,Không,100%,Tự học,3.5
5/9/2026 23:07:35,50,7,> 8 giờ,2-3 giờ,Không,Không,100%,Cả hai,3.7
5/9/2026 23:08:01,70,7,7-8 giờ,2-3 giờ,Không,Có,100%,Cả hai,3.7
5/9/2026 23:08:05,54,6,6-7 giờ,2-3 giờ,Không,Không,100%,Tự học,4.0
5/9/2026 23:08:19,40,9,> 8 giờ,> 3 giờ,Có,Có,100%,Cả hai,3.7
5/9/2026 23:08:42,122,6,> 8 giờ,> 3 giờ,Có,Có,75%,Cả hai,3.7
5/9/2026 23:09:25,58,9,> 8 giờ,> 3 giờ,Có,Không,100%,Tự học,3
5/9/2026 23:09:28,28,4,> 8 giờ,> 3 giờ,Có,Có,50%,Tự học,3.3
5/9/2026 23:09:41,36,9,> 8 giờ,2-3 giờ,Có,Không,100%,Cả hai,3.7
5/9/2026 23:09:58,80,9,> 8 giờ,2-3 giờ,Có,Có,100%,Cả hai,2
5/9/2026 23:10:14,80,4,> 8 giờ,< 1 giờ,Có,Không,≤ 25%,Cả hai,3.4
5/9/2026 23:10:32,70,4,> 8 giờ,> 3 giờ,Không,Không,100%,Cả hai,3.91
5/9/2026 23:10:50,35,5,7-8 giờ,2-3 giờ,Không,Không,100%,Tự học,3.7
5/9/2026 23:11:18,90,2,> 8 giờ,< 1 giờ,Có,Có,100%,Học nhóm,2.0
5/9/2026 23:11:33,78,5,> 8 giờ,1-2 giờ,Có,Có,50%,Cả hai,2.9
5/9/2026 23:11:40,36,7,6-7 giờ,2-3 giờ,Có,Không,100%,Tự học,3.5
5/9/2026 23:11:59,94,6,> 8 giờ,> 3 giờ,Có,Có,100%,Tự học,3.3
5/9/2026 23:12:14,75,3,> 8 giờ,> 3 giờ,Không,Không,100%,Học nhóm,3.8
5/9/2026 23:12:14,62,8,< 6 giờ,2-3 giờ,Không,Không,100%,Tự học,3.9
5/9/2026 23:12:31,99,3,> 8 giờ,2-3 giờ,Có,Không,75%,Học nhóm,1.8
5/9/2026 23:12:53,158,8,> 8 giờ,> 3 giờ,Có,Có,100%,Cả hai,2.96
5/9/2026 23:13:10,52,7,6-7 giờ,< 1 giờ,Không,Không,100%,Tự học,3.6
5/9/2026 23:13:47,34,7,7-8 giờ,> 3 giờ,Có,Có,75%,Tự học,3.2
5/9/2026 23:14:24,30,8,7-8 giờ,> 3 giờ,Có,Có,75%,Tự học,3.4
5/9/2026 23:14:59,78,3,> 8 giờ,2-3 giờ,Có,Có,100%,Tự học,2.4
5/9/2026 23:15:13,57,2,> 8 giờ,2-3 giờ,Có,Có,100%,Cả hai,2.1
5/9/2026 23:15:27,45,6,6-7 giờ,1-2 giờ,Không,Có,100%,Tự học,3.7
5/9/2026 23:15:35,69,4,> 8 giờ,> 3 giờ,Có,Có,75%,Cả hai,3.7
5/9/2026 23:15:50,30,3,> 8 giờ,> 3 giờ,Có,Có,100%,Cả hai,2.8
5/9/2026 23:16:07,58,3,> 8 giờ,< 1 giờ,Có,Có,100%,Cả hai,3.1
5/9/2026 23:16:28,43,6,6-7 giờ,2-3 giờ,Không,Có,100%,Tự học,3.7
5/9/2026 23:16:32,38,8,> 8 giờ,> 3 giờ,Có,Có,100%,Tự học,2.3
5/9/2026 23:17:06,42,6,7-8 giờ,2-3 giờ,Không,Có,100%,Tự học,3.5
5/9/2026 23:17:39,67,7,< 6 giờ,1-2 giờ,Không,Không,100%,Tự học,4.0
5/9/2026 23:18:18,54,5,7-8 giờ,> 3 giờ,Không,Có,100%,Tự học,3.9
5/9/2026 23:19:02,48,6,< 6 giờ,2-3 giờ,Có,Có,75%,Tự học,3.6
5/9/2026 23:19:38,35,5,> 8 giờ,> 3 giờ,Không,Không,50%,Tự học,3.0
5/9/2026 23:20:23,48,7,7-8 giờ,1-2 giờ,Không,Có,100%,Tự học,3.8
5/9/2026 23:20:41,42,4,> 8 giờ,< 1 giờ,Có,Có,100%,Cả hai,2.9
5/9/2026 23:20:54,50,5,6-7 giờ,2-3 giờ,Không,Không,100%,Tự học,4.0
5/9/2026 23:21:10,53,7,> 8 giờ,> 3 giờ,Có,Có,100%,Cả hai,3.1
5/9/2026 23:21:30,31,3,> 8 giờ,2-3 giờ,Có,Không,100%,Học nhóm,3.4
5/9/2026 23:23:13,25,6,7-8 giờ,> 3 giờ,Không,Không,100%,Cả hai,3.68
5/9/2026 23:24:20,28,6,7-8 giờ,1-2 giờ,Có,Không,75%,Tự học,2.9
5/9/2026 23:25:09,46,2,> 8 giờ,> 3 giờ,Có,Không,75%,Học nhóm,3.5
5/9/2026 23:25:19,10,6,> 8 giờ,2-3 giờ,Không,Không,100%,Cả hai,3.85
5/9/2026 23:25:28,30,4,7-8 giờ,> 3 giờ,Không,Có,100%,Cả hai,3.2
5/9/2026 23:25:41,100,6,< 6 giờ,1-2 giờ,Không,Không,100%,Tự học,3.7
5/9/2026 23:26:17,34,5,6-7 giờ,> 3 giờ,Có,Không,100%,Cả hai,3.0
5/9/2026 23:26:38,23,7,> 8 giờ,1-2 giờ,Có,Có,100%,Cả hai,3
5/9/2026 23:26:42,20,3,7-8 giờ,> 3 giờ,Không,Không,100%,Học nhóm,2.9
5/9/2026 23:26:55,79,4,> 8 giờ,> 3 giờ,Có,Có,100%,Học nhóm,3.4
5/9/2026 23:27:11,24,3,7-8 giờ,2-3 giờ,Không,Có,75%,Tự học,3.3
5/9/2026 23:27:17,30 phút,5,7-8 giờ,1-2 giờ,Có,Không,100%,Học nhóm,3.7
5/9/2026 23:27:22,72,8,7-8 giờ,1-2 giờ,Không,Có,100%,Tự học,3.7
5/9/2026 23:27:39,2p,3,> 8 giờ,> 3 giờ,Không,Có,75%,Tự học,3.0
5/9/2026 23:28:13,23,3,> 8 giờ,2-3 giờ,Có,Không,100%,Cả hai,3.1
5/9/2026 23:30:21,63,7,6-7 giờ,< 1 giờ,Không,Không,100%,Tự học,3.7
5/9/2026 23:32:46,60,6,7-8 giờ,2-3 giờ,Không,Không,100%,Tự học,3 44
5/9/2026 23:33:49,70,3,> 8 giờ,2-3 giờ,Có,Có,100%,Cả hai,3.8
5/9/2026 23:34:38,5,6,7-8 giờ,> 3 giờ,Không,Không,100%,Cả hai,2.98
5/9/2026 23:35:32,43,6,6-7 giờ,2-3 giờ,Không,Không,100%,Tự học,3.5
5/9/2026 23:35:56,64,3,> 8 giờ,> 3 giờ,Có,Có,100%,Cả hai,3.5
5/9/2026 23:36:30,11-12,4,> 8 giờ,> 3 giờ,Có,Có,75%,Cả hai,2.8
5/9/2026 23:37:03,50,6,7-8 giờ,2-3 giờ,Có,Không,100%,Tự học,3.9
5/9/2026 23:38:30,55,6,> 8 giờ,2-3 giờ,Không,Không,100%,Tự học,3.5
5/9/2026 23:39:07,65,7,6-7 giờ,1-2 giờ,Không,Không,100%,Tự học,3.8
5/9/2026 23:39:37,56,20,< 6 giờ,1-2 giờ,Không,Không,75%,Tự học,3.46
5/9/2026 23:39:41,57,6,> 8 giờ,1-2 giờ,Không,Không,100%,Tự học,4.0
5/9/2026 23:40:25,50,8,7-8 giờ,> 3 giờ,Không,Có,75%,Cả hai,3.5
5/9/2026 23:40:37,65,8,< 6 giờ,2-3 giờ,Không,Có,75%,Tự học,3.8
5/9/2026 23:40:47,25,7,> 8 giờ,> 3 giờ,Có,Có,75%,Cả hai,3.6
5/9/2026 23:41:09,30,14,> 8 giờ,> 3 giờ,Có,Không,100%,Tự học,3.2
5/9/2026 23:41:27,36,6,< 6 giờ,> 3 giờ,Có,Không,75%,Tự học,3.3
5/9/2026 23:43:04,64,8,6-7 giờ,> 3 giờ,Không,Có,100%,Tự học,4.0
5/9/2026 23:43:36,57,8,6-7 giờ,2-3 giờ,Không,Không,100%,Tự học,3.8
5/9/2026 23:43:48,56,3,> 8 giờ,1-2 giờ,Có,Có,100%,Cả hai,3.4
5/9/2026 23:44:12,68,7,< 6 giờ,< 1 giờ,Không,Không,100%,Tự học,4.0
5/9/2026 23:45:12,50,5,< 6 giờ,2-3 giờ,Không,Không,100%,Tự học,3.74
5/9/2026 23:45:20,34,6,> 8 giờ,> 3 giờ,Không,Không,75%,Tự học,3.4
5/9/2026 23:45:49,53,8,7-8 giờ,2-3 giờ,Có,Không,75%,Tự học,3.6
5/9/2026 23:46:18,55,6,7-8 giờ,2-3 giờ,Có,Không,100%,Tự học,4.0
5/9/2026 23:46:48,53,8,6-7 giờ,1-2 giờ,Không,Không,75%,Tự học,3.5
5/9/2026 23:47:11,64,6,< 6 giờ,2-3 giờ,Có,Có,75%,Tự học,4.0
5/9/2026 23:47:36,53,8,7-8 giờ,< 1 giờ,Không,Không,100%,Tự học,3.4
5/9/2026 23:48:16,34,6,6-7 giờ,2-3 giờ,Không,Không,100%,Tự học,3.6
5/9/2026 23:48:39,47,4,> 8 giờ,> 3 giờ,Không,Có,100%,Tự học,3.7
5/9/2026 23:48:44,35,3,> 8 giờ,1-2 giờ,Có,Có,100%,Cả hai,2.8
5/9/2026 23:49:03,47,7,< 6 giờ,1-2 giờ,Không,Có,75%,Tự học,3.2
5/9/2026 23:49:32,65,4,7-8 giờ,2-3 giờ,Không,Có,100%,Tự học,3.9
5/9/2026 23:50:58,38,4,7-8 giờ,2-3 giờ,Có,Có,100%,Tự học,3.6
5/9/2026 23:51:29,38,5,> 8 giờ,2-3 giờ,Không,Có,100%,Tự học,3.3
5/9/2026 23:51:39,78,6,> 8 giờ,> 3 giờ,Có,Có,100%,Cả hai,2.7
5/9/2026 23:51:58,52,5,> 8 giờ,1-2 giờ,Có,Có,75%,Cả hai,2.1
5/9/2026 23:52:31,102,9,> 8 giờ,> 3 giờ,Có,Có,100%,Học nhóm,3.7
5/9/2026 23:52:49,36,3,7-8 giờ,2-3 giờ,Có,Không,100%,Tự học,3.4
5/9/2026 23:53:09,55,7,> 8 giờ,> 3 giờ,Không,Có,100%,Cả hai,2.8
5/9/2026 23:53:43,36,5,> 8 giờ,> 3 giờ,Có,Không,75%,Tự học,3.4
5/9/2026 23:53:50,68,7,< 6 giờ,> 3 giờ,Không,Có,50%,Tự học,3
5/9/2026 23:54:05,60,10,6-7 giờ,> 3 giờ,Có,Có,75%,Cả hai,3
5/9/2026 23:54:13,43,5,7-8 giờ,2-3 giờ,Không,Có,100%,Tự học,3.7
5/9/2026 23:54:40,60,8,> 8 giờ,> 3 giờ,Có,Có,50%,Cả hai,3.4
5/9/2026 23:55:04,43,8,7-8 giờ,> 3 giờ,Có,Có,75%,Tự học,3.4
5/9/2026 23:55:30,54,7,> 8 giờ,2-3 giờ,Có,Không,100%,Học nhóm,3.5
5/9/2026 23:56:20,68,7,> 8 giờ,> 3 giờ,Không,Không,50%,Học nhóm,3
5/9/2026 23:56:21,79,8,7-8 giờ,> 3 giờ,Có,Có,100%,Học nhóm,3.6
5/9/2026 23:56:45,56,8,> 8 giờ,1-2 giờ,Có,Không,50%,Tự học,2.6
5/9/2026 23:56:51,37,6,6-7 giờ,> 3 giờ,Có,Có,100%,Cả hai,3.7
5/9/2026 23:57:06,89,8,6-7 giờ,2-3 giờ,Có,Không,50%,Tự học,3.
5/9/2026 23:57:31,30,4,> 8 giờ,2-3 giờ,Có,Có,≤ 25%,Cả hai,2.5
5/9/2026 23:57:38,53,5,7-8 giờ,1-2 giờ,Không,Có,100%,Học nhóm,3.7
5/9/2026 23:57:52,78,8,> 8 giờ,> 3 giờ,Có,Không,100%,Cả hai,3.2
5/9/2026 23:58:01,23,6,> 8 giờ,> 3 giờ,Không,Có,100%,Cả hai,3.5
5/9/2026 23:58:13,66,8,< 6 giờ,< 1 giờ,Không,Không,100%,Cả hai,3.5
5/9/2026 23:58:33,90,5,< 6 giờ,< 1 giờ,Có,Có,100%,Cả hai,2.9
5/9/2026 23:58:43,68,7,> 8 giờ,2-3 giờ,Có,Không,≤ 25%,Học nhóm,3
5/9/2026 23:58:44,65,7,6-7 giờ,1-2 giờ,Không,Có,100%,Tự học,4.0
5/9/2026 23:58:49,53,2,> 8 giờ,2-3 giờ,Có,Có,100%,Cả hai,3.1
5/9/2026 23:58:53,78,6,6-7 giờ,2-3 giờ,Không,Không,75%,Tự học,3.2
5/9/2026 23:59:07,32,4,> 8 giờ,1-2 giờ,Có,Không,100%,Học nhóm,2.8
5/9/2026 23:59:47,59,3,> 8 giờ,> 3 giờ,Có,Không,100%,Cả hai,2.0
5/9/2026 23:59:53,26,7,> 8 giờ,> 3 giờ,Có,Không,50%,Tự học,2.8
5/9/2026 23:59:55,40,5,7-8 giờ,2-3 giờ,Có,Không,100%,Cả hai,2.8
5/10/2026 0:00:15,46,6,> 8 giờ,> 3 giờ,Có,Không,100%,Cả hai,3.8
5/10/2026 0:00:16,45,6,7-8 giờ,1-2 giờ,Không,Không,100%,Cả hai,3.2
5/10/2026 0:00:23,50,7,7-8 giờ,> 3 giờ,Không,Có,100%,Cả hai,3
5/10/2026 0:00:37,45,6,6-7 giờ,2-3 giờ,Không,Có,75%,Cả hai,2.9
5/10/2026 0:00:42,68,7,> 8 giờ,> 3 giờ,Không,Không,50%,Học nhóm,3
5/10/2026 0:00:42,39,4,> 8 giờ,> 3 giờ,Không,Có,100%,Học nhóm,2.8
5/10/2026 0:01:03,50,6,7-8 giờ,> 3 giờ,Không,Có,100%,Tự học,3.3
5/10/2026 0:01:41,79,4,> 8 giờ,> 3 giờ,Có,Có,100%,Cả hai,3.6
5/10/2026 0:02:21,43,6,> 8 giờ,> 3 giờ,Có,Không,100%,Cả hai,3.9
5/10/2026 0:02:33,68,32,> 8 giờ,> 3 giờ,Có,Không,100%,Cả hai,3.2
5/10/2026 0:02:52,37,8,> 8 giờ,> 3 giờ,Có,Không,100%,Cả hai,3.6
5/10/2026 0:03:14,45,9,> 8 giờ,> 3 giờ,Có,Không,100%,Cả hai,3.4
5/10/2026 0:03:36,40,6,> 8 giờ,1-2 giờ,Có,Có,100%,Cả hai,2.5
5/10/2026 0:03:49,37,10,7-8 giờ,> 3 giờ,Không,Có,100%,Cả hai,3.5
5/10/2026 0:04:00,70,8,> 8 giờ,2-3 giờ,Không,Có,100%,Học nhóm,2.9
5/10/2026 0:04:38,30,6,> 8 giờ,1-2 giờ,Có,Không,75%,Cả hai,3.5
5/10/2026 0:04:56,79,8,> 8 giờ,2-3 giờ,Không,Có,50%,Học nhóm,3.43
5/10/2026 0:05:15,31,3,> 8 giờ,2-3 giờ,Có,Không,50%,Tự học,2.78
5/10/2026 0:05:43,67,6,> 8 giờ,< 1 giờ,Có,Có,100%,Cả hai,3.96
5/10/2026 0:08:48,126,7,< 6 giờ,< 1 giờ,Có,Có,100%,Cả hai,3.6
5/10/2026 0:09:11,53,7,> 8 giờ,1-2 giờ,Có,Có,75%,Học nhóm,3
5/10/2026 0:09:19,34,6,> 8 giờ,> 3 giờ,Có,Không,100%,Cả hai,3.6
5/10/2026 0:10:04,52,6,> 8 giờ,> 3 giờ,Có,Không,100%,Học nhóm,1.5
5/10/2026 0:10:22,74,4,> 8 giờ,> 3 giờ,Có,Có,100%,Học nhóm,2.8
5/10/2026 0:10:26,46,7,> 8 giờ,> 3 giờ,Không,Có,75%,Tự học,3.5
5/10/2026 0:10:33,63,4,6-7 giờ,1-2 giờ,Không,Không,100%,Tự học,3.6
5/10/2026 0:10:48,64,3,> 8 giờ,> 3 giờ,Có,Không,100%,Cả hai,3.4
5/10/2026 0:10:56,60,9,6-7 giờ,> 3 giờ,Có,Có,100%,Tự học,3.7
5/10/2026 0:11:16,28,7,> 8 giờ,2-3 giờ,Có,Có,100%,Học nhóm,3.16
5/10/2026 0:11:43,30,6,> 8 giờ,2-3 giờ,Có,Có,100%,Học nhóm,3.36
5/10/2026 0:12:25,56,8,> 8 giờ,> 3 giờ,Không,Có,75%,Cả hai,3.5
5/10/2026 0:12:29,85,8,> 8 giờ,> 3 giờ,Không,Có,100%,Học nhóm,2.6
5/10/2026 0:13:05,59,4,> 8 giờ,> 3 giờ,Không,Không,100%,Cả hai,2.6
5/10/2026 0:13:06,26,5,> 8 giờ,> 3 giờ,Không,Có,75%,Tự học,3.4
5/10/2026 0:13:36,41,6,> 8 giờ,2-3 giờ,Có,Có,100%,Học nhóm,3.2
5/10/2026 0:14:48,27,9,> 8 giờ,> 3 giờ,Có,Có,100%,Cả hai,3.4
5/10/2026 0:14:53,61,30,7-8 giờ,1-2 giờ,Có,Có,75%,Học nhóm,2.1
5/10/2026 0:15:29,57,9,> 8 giờ,> 3 giờ,Có,Có,100%,Học nhóm,3.7
5/10/2026 0:16:36,61,7,> 8 giờ,> 3 giờ,Có,Có,100%,Cả hai,3.5
5/10/2026 0:17:00,46,7,> 8 giờ,2-3 giờ,Có,Có,100%,Cả hai,3.3
5/10/2026 0:18:12,84,9,> 8 giờ,> 3 giờ,Có,Có,100%,Học nhóm,3
5/10/2026 0:18:48,77,5,> 8 giờ,> 3 giờ,Có,Không,100%,Học nhóm,3
5/10/2026 0:19:23,49,7,> 8 giờ,> 3 giờ,Có,Có,75%,Học nhóm,3.27
5/10/2026 0:19:46,61,4,> 8 giờ,2-3 giờ,Có,Có,100%,Học nhóm,3.7
5/10/2026 0:20:22,39,6,6-7 giờ,> 3 giờ,Có,Có,100%,Cả hai,3.4
5/10/2026 0:20:24,32,3.65,> 8 giờ,> 3 giờ,Không,Không,100%,Học nhóm,3.87
5/10/2026 0:20:46,64,8,> 8 giờ,> 3 giờ,Có,Có,100%,Tự học,3.91
5/10/2026 0:21:30,62,5,> 8 giờ,> 3 giờ,Không,Có,75%,Cả hai,3.7
5/10/2026 0:22:16,51,7,> 8 giờ,> 3 giờ,Không,Không,100%,Học nhóm,2.9
5/10/2026 0:22:40,35,6,> 8 giờ,> 3 giờ,Không,Có,100%,Cả hai,3.6
5/10/2026 0:22:43,25,5,> 8 giờ,2-3 giờ,Có,Không,100%,Tự học,3.45
5/10/2026 0:23:19,59,4,> 8 giờ,> 3 giờ,Có,Có,100%,Học nhóm,2.78
5/10/2026 0:23:38,24,6,> 8 giờ,> 3 giờ,Không,Có,100%,Cả hai,3.4
5/10/2026 0:23:48,37,4,> 8 giờ,2-3 giờ,Có,Có,75%,Học nhóm,3.5
5/10/2026 0:24:19,74,8,> 8 giờ,> 3 giờ,Không,Không,100%,Tự học,3.61
